id,staff_account_id,day_of_week,start_time,end_time,is_active,created_at,updated_at
1,10,1,09:00:00,18:00:00,0,2026-07-24 09:00:00,2026-07-26 09:00:00
2,10,2,09:00:00,18:00:00,1,2026-07-24 09:00:00,2026-07-26 09:00:00
3,10,3,09:00:00,18:00:00,1,2026-07-24 09:00:00,2026-08-09 09:00:00
4,10,4,09:00:00,18:00:00,1,2026-07-24 09:00:00,2026-08-05 09:00:00
5,10,5,09:00:00,18:00:00,1,2026-07-24 09:00:00,2026-07-26 09:00:00
6,10,6,09:00:00,18:00:00,1,2026-07-24 09:00:00,2026-07-25 09:00:00
7,11,1,10:00:00,19:00:00,1,2026-07-28 05:10:00,2026-08-12 05:10:00
8,11,2,10:00:00,19:00:00,0,2026-07-28 05:10:00,2026-08-21 05:10:00
9,11,3,10:00:00,19:00:00,1,2026-07-28 05:10:00,2026-07-30 05:10:00
10,11,4,10:00:00,19:00:00,1,2026-07-28 05:10:00,2026-08-10 05:10:00
11,11,5,10:00:00,19:00:00,1,2026-07-28 05:10:00,2026-08-04 05:10:00
12,11,6,10:00:00,19:00:00,1,2026-07-28 05:10:00,2026-08-26 05:10:00
13,12,1,09:00:00,18:00:00,1,2025-10-29 05:58:00,2025-11-17 05:58:00
14,12,2,09:00:00,18:00:00,1,2025-10-29 05:58:00,2025-11-16 05:58:00
15,12,3,09:00:00,18:00:00,0,2025-10-29 05:58:00,2025-11-28 05:58:00
16,12,4,09:00:00,18:00:00,1,2025-10-29 05:58:00,2025-11-27 05:58:00
17,12,5,09:00:00,18:00:00,1,2025-10-29 05:58:00,2025-11-28 05:58:00
18,12,6,09:00:00,18:00:00,1,2025-10-29 05:58:00,2025-11-11 05:58:00
19,13,1,10:00:00,19:00:00,1,2026-04-12 14:59:00,2026-05-11 14:59:00
20,13,2,10:00:00,19:00:00,1,2026-04-12 14:59:00,2026-05-01 14:59:00
21,13,3,10:00:00,19:00:00,1,2026-04-12 14:59:00,2026-04-29 14:59:00
22,13,4,10:00:00,19:00:00,0,2026-04-12 14:59:00,2026-05-12 14:59:00
23,13,5,10:00:00,19:00:00,1,2026-04-12 14:59:00,2026-05-01 14:59:00
24,13,6,10:00:00,19:00:00,1,2026-04-12 14:59:00,2026-04-30 14:59:00
25,14,1,09:00:00,18:00:00,1,2026-02-15 07:54:00,2026-03-16 07:54:00
26,14,2,09:00:00,18:00:00,1,2026-02-15 07:54:00,2026-03-06 07:54:00
27,14,3,09:00:00,18:00:00,1,2026-02-15 07:54:00,2026-03-05 07:54:00
28,14,4,09:00:00,18:00:00,1,2026-02-15 07:54:00,2026-02-26 07:54:00
29,14,5,09:00:00,18:00:00,0,2026-02-15 07:54:00,2026-02-18 07:54:00
30,14,6,09:00:00,18:00:00,1,2026-02-15 07:54:00,2026-03-10 07:54:00
31,15,1,10:00:00,19:00:00,1,2026-08-16 05:10:00,2026-09-01 05:10:00
32,15,2,10:00:00,19:00:00,1,2026-08-16 05:10:00,2026-08-19 05:10:00
33,15,3,10:00:00,19:00:00,1,2026-08-16 05:10:00,2026-08-21 05:10:00
34,15,4,10:00:00,19:00:00,1,2026-08-16 05:10:00,2026-08-23 05:10:00
35,15,5,10:00:00,19:00:00,1,2026-08-16 05:10:00,2026-09-12 05:10:00
36,15,6,10:00:00,19:00:00,0,2026-08-16 05:10:00,2026-09-02 05:10:00
37,16,1,09:00:00,18:00:00,0,2025-10-16 13:03:00,2025-11-11 13:03:00
38,16,2,09:00:00,18:00:00,1,2025-10-16 13:03:00,2025-10-24 13:03:00
39,16,3,09:00:00,18:00:00,1,2025-10-16 13:03:00,2025-11-02 13:03:00
40,16,4,09:00:00,18:00:00,1,2025-10-16 13:03:00,2025-11-05 13:03:00
41,16,5,09:00:00,18:00:00,1,2025-10-16 13:03:00,2025-10-24 13:03:00
42,16,6,09:00:00,18:00:00,1,2025-10-16 13:03:00,2025-11-11 13:03:00
43,17,1,10:00:00,19:00:00,1,2025-12-16 07:22:00,2025-12-31 07:22:00
44,17,2,10:00:00,19:00:00,0,2025-12-16 07:22:00,2026-01-12 07:22:00
45,17,3,10:00:00,19:00:00,1,2025-12-16 07:22:00,2026-01-14 07:22:00
46,17,4,10:00:00,19:00:00,1,2025-12-16 07:22:00,2025-12-19 07:22:00
47,17,5,10:00:00,19:00:00,1,2025-12-16 07:22:00,2025-12-25 07:22:00
48,17,6,10:00:00,19:00:00,1,2025-12-16 07:22:00,2025-12-18 07:22:00
49,18,1,09:00:00,18:00:00,1,2026-01-09 10:35:00,2026-01-15 10:35:00
50,18,2,09:00:00,18:00:00,1,2026-01-09 10:35:00,2026-02-06 10:35:00
51,18,3,09:00:00,18:00:00,0,2026-01-09 10:35:00,2026-01-29 10:35:00
52,18,4,09:00:00,18:00:00,1,2026-01-09 10:35:00,2026-02-01 10:35:00
53,18,5,09:00:00,18:00:00,1,2026-01-09 10:35:00,2026-01-30 10:35:00
54,18,6,09:00:00,18:00:00,1,2026-01-09 10:35:00,2026-01-15 10:35:00
55,19,1,10:00:00,19:00:00,1,2026-08-02 05:10:00,2026-08-25 05:10:00
56,19,2,10:00:00,19:00:00,1,2026-08-02 05:10:00,2026-08-22 05:10:00
57,19,3,10:00:00,19:00:00,1,2026-08-02 05:10:00,2026-08-21 05:10:00
58,19,4,10:00:00,19:00:00,0,2026-08-02 05:10:00,2026-08-28 05:10:00
59,19,5,10:00:00,19:00:00,1,2026-08-02 05:10:00,2026-08-17 05:10:00
60,19,6,10:00:00,19:00:00,1,2026-08-02 05:10:00,2026-08-26 05:10:00
61,20,1,09:00:00,18:00:00,1,2026-06-26 13:35:00,2026-06-28 13:35:00
62,20,2,09:00:00,18:00:00,1,2026-06-26 13:35:00,2026-07-02 13:35:00
63,20,3,09:00:00,18:00:00,1,2026-06-26 13:35:00,2026-07-10 13:35:00
64,20,4,09:00:00,18:00:00,1,2026-06-26 13:35:00,2026-07-03 13:35:00
65,20,5,09:00:00,18:00:00,0,2026-06-26 13:35:00,2026-06-30 13:35:00
66,20,6,09:00:00,18:00:00,1,2026-06-26 13:35:00,2026-07-08 13:35:00
67,21,1,10:00:00,19:00:00,1,2026-07-27 08:14:00,2026-08-25 08:14:00
68,21,2,10:00:00,19:00:00,1,2026-07-27 08:14:00,2026-08-03 08:14:00
69,21,3,10:00:00,19:00:00,1,2026-07-27 08:14:00,2026-07-30 08:14:00
70,21,4,10:00:00,19:00:00,1,2026-07-27 08:14:00,2026-08-04 08:14:00
71,21,5,10:00:00,19:00:00,1,2026-07-27 08:14:00,2026-08-26 08:14:00
72,21,6,10:00:00,19:00:00,0,2026-07-27 08:14:00,2026-08-19 08:14:00
73,22,1,09:00:00,18:00:00,0,2026-04-19 07:17:00,2026-04-24 07:17:00
74,22,2,09:00:00,18:00:00,1,2026-04-19 07:17:00,2026-05-14 07:17:00
75,22,3,09:00:00,18:00:00,1,2026-04-19 07:17:00,2026-05-04 07:17:00
76,22,4,09:00:00,18:00:00,1,2026-04-19 07:17:00,2026-04-23 07:17:00
77,22,5,09:00:00,18:00:00,1,2026-04-19 07:17:00,2026-05-09 07:17:00
